I,chi_eff_true,chi_eff_H1,chi_eff_H0
1.1799599198396793,1.5210286612610417,4.084417802682049,0.5709780312503128
1.186372745490982,1.4999271648762011,4.0861719262275695,0.5478436821821298
1.1927855711422846,1.4785710669220542,4.087688421153107,0.5244937796197178
1.199198396793587,1.456962417899593,4.08896920126352,0.5009300595800816
1.2056112224448898,1.4351032409329392,4.090016154811877,0.47715423490213027
1.2120240480961924,1.4129955322783587,4.090831144974516,0.45316799567761734
1.218436873747495,1.3906412618211874,4.09141601031487,0.42897300967185714
1.2248496993987976,1.3680423735609466,4.091772565236216,0.40457092273446094
1.2312625250501001,1.345200786085094,4.091902600423875,0.3799633592003744
1.2376753507014029,1.3221183930316762,4.091807883276985,0.3551519222816282
1.2440881763527054,1.298797063541187,4.091490158330252,0.33013819444986936
1.250501002004008,1.2752386426979783,4.090951147665962,0.304923737810082
1.2569138276553107,1.251444951961492,4.090192551316417,0.2795100944656639
1.2633266533066132,1.2274177895875944,4.089216047657207,0.253898786875169
1.2697394789579157,1.203158931040317,4.088023293791501,0.2280913182008817
1.2761523046092185,1.1786701293942272,4.086615925925599,0.2020891726494689
1.282565130260521,1.1539531157277487,4.0849955597360115,0.17589381580500074
1.2889779559118237,1.129009599507576,4.083163790728271,0.14950669495438973
1.2953907815631263,1.1038412689645796,4.0811221945877705,0.12292923940565004
1.3018036072144288,1.0784497914612885,4.078872327522724,0.0961628607990157
1.3082164328657315,1.0528368138512363,4.076415726599603,0.06920895341117728
1.314629258517034,1.0270039628304275,4.073753910071122,0.04206889445284645
1.3210420841683366,1.0009528452810557,4.070888377697091,0.014744044359748187
1.3274549098196393,0.9746850486077641,4.067820611058217,-0.012764252922671915
1.3338677354709418,0.9482021410665702,4.064552073863119,-0.04045466966079658
1.3402805611222446,0.9215056720866954,4.061084212248726,-0.06832589406033662
1.346693386773547,0.894597172585474,4.057418455074139,-0.09637662999975305
1.3531062124248496,0.867478155276526,4.053556214208317,-0.12460559676930671
1.3595190380761524,0.8401501149713511,4.049498884811527,-0.15301152881575675
1.365931863727455,0.8126145288745619,4.0452478456108985,-0.18159317549239518
1.3723446893787574,0.7848728568728411,4.0408044591701575,-0.21034930081439285
1.3787575150300602,0.7569265418178404,4.036170072153595,-0.23927868321930745
1.3851703406813627,0.7287770098032169,4.03134601558471,-0.26838011533252626
1.3915831663326654,0.7004256704358305,4.026333605099271,-0.2976524037376649
1.397995991983968,0.6718739171013617,4.021134141193254,-0.3270943687516841
1.4044088176352705,0.6431231272244702,4.015748909465646,-0.356704844204657
1.4108216432865732,0.6141746625235491,4.010179180856234,-0.3864826772240164
1.4172344689378757,0.5850298692603779,4.004426211878595,-0.4164267280232856
1.4236472945891783,0.5556900784845631,3.9984912448482532,-0.44653586969505454
1.430060120240481,0.5261566062731831,3.9923755081063312,-0.4768089880081092
1.4364729458917835,0.4964307539654378,3.98608021623858,-0.5072449812088031
1.442885771543086,0.4665138083927509,3.979606570290148,-0.5378427598261908
1.4492985971943888,0.4364070421041504,3.972955757975889,-0.5686012464812578
1.4557114228456913,0.4061117135872223,3.966128953886628,-0.599519375699817
1.462124248496994,0.3756290674846987,3.9591273196913193,-0.6305960937291886
1.4685370741482966,0.3449603348067427,3.9519520043351264,-0.6618303583584186
1.4749498997995991,0.3141067331390772,3.944604144233743,-0.6932211387421106
1.4813627254509019,0.28306946684707057,3.93708486346382,-0.7247674152276105
1.4877755511022044,0.25184972727580046,3.929395273949712,-0.7564681791856636
1.494188376753507,0.22044869294632008,3.921536475646665,-0.7883224328442111
1.5006012024048097,0.18886752974801269,3.913509556720342,-0.8203291891255446
1.5070140280561122,0.15710739112741479,3.90531559372306,-0.8524874714864801
1.513426853707415,0.12516941827327344,3.8969556517665076,-0.8847963137616297
1.5198396793587174,0.09305474029817162,3.8884307846912556,-0.9172547600096586
1.52625250501002,0.0607644744166862,3.879742035233054,-0.949861864362461
1.5326653306613227,0.028299726120174284,3.870890435185963,-0.9826166908771725
1.5390781563126252,-0.004338410651747893,3.8618770055623806,-1.0155183133909524
1.5454909819639278,-0.03714885334287743,3.852702756750194,-1.048565815378545
1.5519038076152305,-0.07013053061531238,3.843368688666814,-1.0817582898124343
1.558316633266533,-0.10328238218733077,3.833875790910554,-1.1150948390256126
1.5647294589178358,-0.13660335867435336,3.8242250429090454,-1.1485745745769087
1.5711422845691383,-0.17009242143275927,3.8144174140649874,-1.1821966171188052
1.5775551102204408,-0.2037485424065828,3.8044538638992513,-1.2159600962675867
1.5839679358717436,-0.23757070397708446,3.794335342191289,-1.24986415047605
1.590380761523046,-0.2715578988149474,3.7840627891170513,-1.2839079269083022
1.5967935871743486,-0.3057091297352379,3.773637135384398,-1.3180905813170014
1.6032064128256514,-0.34002340955494503,3.7630593023660275,-1.352411277922755
1.6096192384769539,-0.3744997609530998,3.752330202230066,-1.3868691892956626
1.6160320641282566,-0.40913721633338085,3.7414507380682593,-1.42146349623901
1.6224448897795591,-0.44393481768919685,3.7304218040219297,-1.4561933876750572
1.6288577154308617,-0.4788916164711381,3.719244285405683,-1.491058060532783
1.6352705410821644,-0.5140066734568016,3.7079190588289066,-1.5260567196377046
1.641683366733467,-0.5492790586228828,3.696446992315124,-1.561188577603584
1.6480961923847695,-0.5847078510195409,3.684828945419291,-1.5964528547260528
1.6545090180360722,-0.6202921386469384,3.6730657693430153,-1.631848778878087
1.6609218436873747,-0.6560310183339588,3.6611583070477245,-1.6673755854073384
1.6673346693386772,-0.6919235956190057,3.64910739336597,-1.7030325170351759
1.67374749498998,-0.7279689846328452,3.636913855110727,-1.738818823757562
1.6801603206412825,-0.7641663079835439,3.6245785111828255,-1.7747337627475837
1.6865731462925853,-0.8005146966432832,3.612102172676561,-1.8107765982596469
1.6929859719438878,-0.8370132898371807,3.5994856429834776,-1.8469466015353433
1.6993987975951903,-0.8736612349339694,3.5867297178943893,-1.8832430507109024
1.705811623246493,-0.9104576873385462,3.5738351856996857,-1.919665230726224
1.7122244488977956,-0.9474018103863138,3.5608028272879295,-1.9562124332353967
1.718637274549098,-0.984492775239346,3.547633416242764,-1.9928839565188383
1.7250501002004008,-1.0217297607842646,3.5343277189382647,-2.0296791053967738
1.7314629258517034,-1.0591119535317866,3.5208864946326557,-2.0665971911442362
1.737875751503006,-1.0966385475180402,3.5073104955604357,-2.103637531407511
1.7442885771543086,-1.1343087442074236,3.4936004670230183,-2.140799450121868
1.7507014028056112,-1.1721217523971355,3.479757147477873,-2.1780822774307644
1.757114228456914,-1.2100767881232173,3.465781268626209,-2.2154853496062756
1.7635270541082164,-1.248173074568193,3.4516735554991556,-2.2530080089709124
1.769939879759519,-1.2864098419702046,3.437434726542584,-2.2906496038206825
1.7763527054108217,-1.3247863275335838,3.4230654937005944,-2.3284094883493864
1.7827655310621242,-1.3633017753409362,3.40856656249753,-2.3662870225741948
1.789178356713427,-1.4019554362666327,3.3939386321187612,-2.4042815722623665
1.7955911823647295,-1.440746567891651,3.379182395490112,-2.4423925088592
1.802004008016032,-1.4796744344198274,3.3642985393560885,-2.4806192094171173
1.8084168336673347,-1.5187383065954805,3.3492877443567437,-2.5189610565258853
1.8148296593186373,-1.557937461622231,3.3341506851034097,-2.5574174382439345
